tank,439,505,22,58,402_20191027A_766.tif.jpeg,866,865
slugcatcher,363,431,40,29,402_20191027A_766.tif.jpeg,866,865
wellhead,363,476,11,13,402_20191027A_766.tif.jpeg,866,865
wellhead,531,163,10,10,402_20191027A_766.tif.jpeg,866,865
pumpjack,460,380,28,26,403_20191027A_1138.tif.jpeg,833,832
tank,424,460,51,20,403_20191027A_1138.tif.jpeg,833,832
wellhead,433,390,15,15,404_20191027A_987.tif.jpeg,833,832
wellhead,794,343,18,12,404_20191027A_987.tif.jpeg,833,832
tank,373,403,14,60,404_20191027A_987.tif.jpeg,833,832
slugcatcher,367,319,26,31,404_20191027A_987.tif.jpeg,833,832
slugcatcher,168,493,34,22,405_20191016A_24.tif.jpeg,866,866
tank,174,561,26,32,405_20191016A_24.tif.jpeg,866,866
wellhead,304,558,22,10,405_20191016A_24.tif.jpeg,866,866
compressor,201,481,32,18,405_20191016A_24.tif.jpeg,866,866
tank,335,387,23,35,408_20191011A_453.tif.jpeg,833,832
slugcatcher,375,403,57,66,408_20191011A_453.tif.jpeg,833,832
compressor,439,407,15,22,408_20191011A_453.tif.jpeg,833,832
wellhead,369,287,28,12,408_20191011A_453.tif.jpeg,833,832
tank,442,366,43,43,411_20191027A_927.tif.jpeg,866,865
tank,321,179,46,59,411_20191027A_927.tif.jpeg,866,865
tank,287,224,50,37,411_20191027A_927.tif.jpeg,866,865
flare,474,192,88,82,411_20191027A_927.tif.jpeg,866,865
slugcatcher,201,194,61,99,411_20191027A_927.tif.jpeg,866,865
slugcatcher,435,448,75,59,411_20191027A_927.tif.jpeg,866,865
wellhead,202,416,11,11,411_20191027A_927.tif.jpeg,866,865
compressor,274,456,173,48,414_20191011A_50.tif.jpeg,866,866
slugcatcher,372,336,57,28,414_20191011A_50.tif.jpeg,866,866
tank,434,350,26,11,414_20191011A_50.tif.jpeg,866,866
compressor,402,194,115,48,415_20191011A_458.tif.jpeg,866,866
pond,437,770,128,88,415_20191011A_458.tif.jpeg,866,866
tank,642,16,34,91,415_20191011A_458.tif.jpeg,866,866
tank,724,16,35,88,415_20191011A_458.tif.jpeg,866,866
slugcatcher,612,645,48,69,415_20191011A_458.tif.jpeg,866,866
slugcatcher,527,58,47,95,415_20191011A_458.tif.jpeg,866,866
slugcatcher,141,350,49,52,416_20191017A_291.tif.jpeg,832,832
flare,264,264,77,69,416_20191017A_291.tif.jpeg,832,832
tank,146,372,89,102,416_20191017A_291.tif.jpeg,832,832
compressor,260,395,100,108,416_20191017A_291.tif.jpeg,832,832
compressor,414,325,40,58,417_20191016A_623.tif.jpeg,865,865
compressor,323,250,75,131,417_20191016A_623.tif.jpeg,865,865
slugcatcher,384,317,26,42,417_20191016A_623.tif.jpeg,865,865
pond,39,504,160,148,418_20191016A_133.tif.jpeg,832,832
pond,164,551,188,134,418_20191016A_133.tif.jpeg,832,832
tank,383,396,51,54,418_20191016A_133.tif.jpeg,832,832
wellhead,472,439,9,8,418_20191016A_133.tif.jpeg,832,832
wellhead,482,335,13,16,420_20191016A_48.tif.jpeg,866,866
tank,567,330,26,27,420_20191016A_48.tif.jpeg,866,866
slugcatcher,567,391,29,19,420_20191016A_48.tif.jpeg,866,866
compressor,300,819,90,47,422_20191023A_271.tif.jpeg,866,866
flare,179,305,82,82,422_20191023A_271.tif.jpeg,866,866
tank,275,813,18,26,422_20191023A_271.tif.jpeg,866,866
wellhead,0,609,26,12,423_20191011A_476.tif.jpeg,832,833
wellhead,424,676,51,14,423_20191011A_476.tif.jpeg,832,833
tank,349,424,39,40,423_20191011A_476.tif.jpeg,832,833
slugcatcher,345,279,54,125,423_20191011A_476.tif.jpeg,832,833
flare,214,238,51,49,423_20191011A_476.tif.jpeg,832,833
pond,657,0,175,310,423_20191011A_476.tif.jpeg,832,833
tank,434,429,24,32,424_20191016A_1044.tif.jpeg,866,866
pumpjack,495,457,40,25,425_20191016A_180.tif.jpeg,832,833
tank,539,545,60,12,425_20191016A_180.tif.jpeg,832,833
tank,151,417,65,14,425_20191016A_180.tif.jpeg,832,833
slugcatcher,232,460,28,52,425_20191016A_180.tif.jpeg,832,833
pumpjack,151,463,29,40,425_20191016A_180.tif.jpeg,832,833
flare,153,551,26,25,425_20191016A_180.tif.jpeg,832,833
tank,0,663,16,48,425_20191016A_180.tif.jpeg,832,833
tank,152,678,23,32,425_20191016A_180.tif.jpeg,832,833
slugcatcher,22,732,57,35,425_20191016A_180.tif.jpeg,832,833
slugcatcher,466,543,35,20,425_20191016A_180.tif.jpeg,832,833
pumpjack,14,191,31,22,426_20191016A_173.tif.jpeg,832,833
tank,576,567,25,23,426_20191016A_173.tif.jpeg,832,833
slugcatcher,491,615,54,46,426_20191016A_173.tif.jpeg,832,833
tank,450,573,25,34,426_20191016A_173.tif.jpeg,832,833
flare,473,213,32,32,427_20191022A_158.tif.jpeg,866,866
pumpjack,529,261,34,29,427_20191022A_158.tif.jpeg,866,866
tank,498,288,16,37,427_20191022A_158.tif.jpeg,866,866
tank,460,426,22,43,427_20191022A_158.tif.jpeg,866,866
slugcatcher,443,487,37,67,427_20191022A_158.tif.jpeg,866,866
pumpjack,267,492,27,37,427_20191022A_158.tif.jpeg,866,866
compressor,430,451,114,39,429_20191016A_176.tif.jpeg,832,832
tank,378,444,12,49,429_20191016A_176.tif.jpeg,832,832
compressor,0,345,196,59,430_20191016A_178.tif.jpeg,865,866
tank,335,461,16,40,430_20191016A_178.tif.jpeg,865,866
pumpjack,390,428,37,26,430_20191016A_178.tif.jpeg,865,866
tank,441,443,27,48,431_20191016A_314.tif.jpeg,866,866
wellhead,499,264,8,11,431_20191016A_314.tif.jpeg,866,866
slugcatcher,436,532,27,66,431_20191016A_314.tif.jpeg,866,866
pumpjack,0,75,26,29,431_20191016A_314.tif.jpeg,866,866
pumpjack,28,261,40,24,431_20191016A_314.tif.jpeg,866,866
wellhead,508,500,11,30,431_20191016A_314.tif.jpeg,866,866
wellhead,284,435,14,11,434_20191027A_951.tif.jpeg,833,832
pond,413,508,369,229,435_20191016A_426.tif.jpeg,866,866
tank,515,426,26,35,435_20191016A_426.tif.jpeg,866,866
tank,379,442,24,26,435_20191016A_426.tif.jpeg,866,866
slugcatcher,376,384,45,24,435_20191016A_426.tif.jpeg,866,866
wellhead,184,694,108,12,436_20191016A_582.tif.jpeg,832,833
wellhead,768,636,29,12,436_20191016A_582.tif.jpeg,832,833
wellhead,661,281,31,12,436_20191016A_582.tif.jpeg,832,833
pumpjack,430,352,26,26,437_20191016A_592.tif.jpeg,832,833
tank,413,442,54,14,437_20191016A_592.tif.jpeg,832,833
slugcatcher,373,337,20,35,437_20191016A_592.tif.jpeg,832,833
slugcatcher,371,400,23,19,437_20191016A_592.tif.jpeg,832,833
pumpjack,304,334,26,26,438_20191027A_1258.tif.jpeg,833,833
tank,302,477,26,22,438_20191027A_1258.tif.jpeg,833,833
tank,435,457,77,25,439_20191016A_797.tif.jpeg,832,832
